time (us),GPS_fixType,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),GPS_ground_course,GPS_hdop,GPS_eph,GPS_epv,GPS_velned[0],GPS_velned[1],GPS_velned[2],GPS_home_lat,GPS_home_lon
22802666,2,17,32.1625925,34.9445537,54,0.08,257.0,137,136,223,8,2,19,32.1625923,34.9445539
22810489,2,17,32.1625925,34.9445537,54,0.08,257.0,137,136,223,8,2,19,32.1625923,34.9445539
22827995,2,17,32.1625925,34.9445536,54,0.05,257.0,137,136,222,4,3,16,32.1625923,34.9445539
23009301,2,16,32.1625926,34.9445537,54,0.04,257.0,140,135,221,4,1,10,32.1625923,34.9445539
23210431,2,17,32.1625927,34.9445538,54,0.07,257.0,140,134,220,7,0,12,32.1625923,34.9445539
23452700,2,16,32.1625926,34.9445537,54,0.01,257.0,140,134,219,0,1,8,32.1625923,34.9445539
23613294,2,16,32.1625926,34.9445538,54,0.05,257.0,140,133,218,5,0,17,32.1625923,34.9445539
23814813,2,17,32.1625926,34.9445538,54,0.02,257.0,145,133,217,-2,0,11,32.1625923,34.9445539
24217684,2,17,32.1625924,34.9445537,54,0.08,257.0,142,131,215,-5,-6,0,32.1625923,34.9445539
24458788,2,17,32.1625923,34.9445536,54,0.05,257.0,142,131,214,0,-5,-11,32.1625923,34.9445539
24820650,2,17,32.1625923,34.9445534,54,0.01,257.0,137,130,212,1,1,-7,32.1625923,34.9445539
24931981,2,17,32.1625923,34.9445534,54,0.01,257.0,137,130,212,1,1,-7,32.1625923,34.9445539
25021688,2,17,32.1625923,34.9445532,54,0.06,257.0,137,129,211,-2,-5,-9,32.1625923,34.9445539
25223469,2,17,32.1625925,34.9445530,54,0.05,257.0,137,129,210,2,-4,-2,32.1625923,34.9445539
25465779,2,17,32.1625926,34.9445528,54,0.01,257.0,137,128,210,0,1,2,32.1625923,34.9445539
25627282,2,17,32.1625927,34.9445528,54,0.03,257.0,137,128,209,3,1,0,32.1625923,34.9445539
25827965,2,17,32.1625930,34.9445528,53,0.05,257.0,132,127,207,0,-5,5,32.1625923,34.9445539
26029788,2,17,32.1625931,34.9445527,53,0.02,257.0,132,126,206,-2,0,-4,32.1625923,34.9445539
26231263,2,17,32.1625933,34.9445526,53,0.05,257.0,132,126,205,5,-1,2,32.1625923,34.9445539
26473542,2,17,32.1625936,34.9445526,53,0.02,257.0,132,125,204,-2,0,1,32.1625923,34.9445539
26634438,2,17,32.1625936,34.9445525,53,0.07,257.0,132,125,203,-2,-6,-4,32.1625923,34.9445539
